filename,z3-time,z3-res,message
benchmark_sample_50/stringfuzz_sat/regex-big-00001-1.smt25,0.07,unknown,
benchmark_handmade/len_or_len_sat.smt2,0.08,sat,
benchmark_debug/01bc46df813110d94cadfa470a814d57b87b7f60329f9863cf54d6b6_sat.smt2,0.09,unknown,
benchmark_handmade/reg_or_eq_sat.smt2,0.08,sat,
benchmark_sample_50/stringfuzz_sat/regex-lengths-00026-0.smt25,0.07,unknown,
benchmark_sample_50/stringfuzz_sat/lengths-long-00701-0.smt25,0.09,sat,
benchmark_debug/PyEx_bug1_sat.smt2,0.12,sat,
benchmark_sample_50/stringfuzz_sat/lengths-long-02401-1.smt25,0.11,sat,
benchmark_sample_50/stringfuzz_sat/regex-deep-00007-1.smt25,0.08,unknown,
benchmark_sample_50/stringfuzz_sat/lengths-short-00196-1.smt25,0.11,sat,
benchmark_sample_50/stringfuzz_sat/lengths-short-00081-0.smt25,0.12,sat,
benchmark_handmade/len_or_reg_sat.smt2,0.13,sat,
benchmark_sample_50/stringfuzz_sat/lengths-long-01801-0.smt25,0.10,sat,
benchmark_handmade/test_unsat.smt2,0.13,unknown,
benchmark_sample_50/stringfuzz_sat/regex-small-00009-1.smt25,0.08,unknown,
benchmark_sample_50/stringfuzz_sat/lengths-long-04301-1.smt25,0.10,sat,
benchmark_sample_50/stringfuzz_sat/regex-big-00029-0.smt25,0.12,unknown,
benchmark_sample_50/stringfuzz_sat/lengths-short-00101-1.smt25,0.09,sat,
benchmark_sample_50/stringfuzz_sat/regex-pair-00026-0.smt25,0.11,unknown,
benchmark_debug/not-prefix_sat.smt2,0.15,sat,
benchmark_sample_50/stringfuzz_sat/lengths-long-03801-0.smt25,0.11,sat,
benchmark_sample_50/stringfuzz_sat/regex-lengths-00326-0.smt25,0.08,unknown,
benchmark_sample_50/stringfuzz_sat/lengths-long-00501-1.smt25,0.14,sat,
benchmark_sample_50/stringfuzz_sat/lengths-long-01101-1.smt25,0.14,sat,
benchmark_sample_50/stringfuzz_sat/lengths-long-02101-1.smt25,0.10,sat,
benchmark_sample_50/stringfuzz_sat/regex-small-00025-1.smt25,0.11,unknown,
benchmark_sample_50/stringfuzz_sat/lengths-short-00106-1.smt25,0.10,sat,
benchmark_sample_50/stringfuzz_sat/lengths-short-00026-0.smt25,0.10,sat,
benchmark_sample_50/stringfuzz_sat/lengths-concats-00006-0.smt25,0.13,sat,
benchmark_sample_50/stringfuzz_sat/lengths-long-00501-0.smt25,0.12,sat,
benchmark_sample_50/stringfuzz_sat/regex-small-00039-1.smt25,0.17,unknown,
benchmark_handmade/eq_sat.smt2,0.19,sat,
benchmark_sample_50/aplas_unsat/quad-length-001-1-unsat.smt2,0.09,unsat,
benchmark_sample_50/stringfuzz_sat/regex-big-00022-0.smt25,0.12,unknown,
benchmark_sample_50/stringfuzz_sat/regex-small-00041-1.smt25,0.13,unknown,
benchmark_sample_50/aplas_unsat/quad-length-172-4-2-unsat.smt2,0.08,unsat,
benchmark_sample_50/stringfuzz_sat/lengths-short-00001-0.smt25,0.14,sat,
benchmark_sample_50/stringfuzz_sat/regex-small-00047-1.smt25,0.16,unknown,
benchmark_sample_50/stringfuzz_sat/lengths-concats-00010-0.smt25,0.23,sat,
benchmark_sample_50/Leetcode_sat/b97c9b85ee0ac3623e3a54656324ae6e860d4e9fce96cb91308a9b72.smt2,0.06,sat,
